msno,city,bd,gender,registered_via,registration_init_time
Rb9UwLQTrxzBVwCB6+bCcSQWZ9JiNLC9dXtM1oEsZA8=,1,0,,11,20110911
+tJonkh+O1CA796Fm5X60UMOtB6POHAwPjbTRVl/EuU=,1,0,,7,20110914
cV358ssn7a0f7jZOwGNWS07wCKVqxyiImJUX6xcIwKw=,1,0,,11,20110915
9bzDeJP6sQodK73K5CBlJ6fgIQzPeLnRl0p5B77XP+g=,1,0,,11,20110915
WFLY3s7z4EZsieHCt63XrsdtfTEmJ+2PnnKLH5GY4Tk=,6,32,female,9,20110915
yLkV2gbZ4GLFwqTOXLVHz0VGrMYcgBGgKZ3kj9RiYu8=,4,30,male,9,20110916
jNCGK78YkTyId3H3wFavcBLDmz7pfqlvCfUKf4G1Lw4=,1,0,,7,20110916
WH5Jq4mgtfUFXh2yz+HrcTXKS4Oess4k4W3qKolAeb0=,5,34,male,9,20110916
tKmbR4X5VXjHmxERrckawEMZ4znVy1lAQIR1vV5rdNk=,5,19,male,9,20110917
I0yFvqMoNkM8ZNHb617e1RBzIS/YRKemHO7Wj13EtA0=,13,63,male,9,20110918
OoDwiKZM+ZGr9P3fRivavgOtglTEaNfWJO4KaJcTTts=,1,0,,7,20110918
dCvvBHlaOAqgkAcv36IZ9twaCyH0Z9om0wEiKn13B3o=,22,18,male,9,20110919
6bra2AiVV8SGlm7R6mp97Ot5jU9FBH2/8JaRk0iaKco=,4,34,female,9,20110919
4De1jAxNRABoyRBDZ82U0yEmzYkqeOugRGVNIf92Xb8=,4,28,female,9,20110920
iOzdu4IHbJxhB5CPpiQsZcGdptCm7OLwWm1Ci6oHLSE=,12,29,female,9,20110922
hZia/3iyvtThD1kv6ozRjRj8T0CAz0+zUFxs3e27wo8=,1,0,,9,20110922
QlDflP89J5KChheo2sbtH++SSDY/hUDj54gkgdfE76U=,1,0,,9,20110922
fOpj0ApSXk1NVODvC5db5Tvm/1G6exXxgTiCwTqvQn0=,13,31,female,7,20110923
GsPgdrXoV6688/0RFAwjKxQUpBB28JxK/Nx45kEpH60=,1,0,,7,20110924
